epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,502.767,1.62929,2.4979,1.30391,0.96953,0.27991,0.37195,0.21546,1.26871,2.20266,1.0696,0.000470795,0.000470795,0.000470795
2,964.87,1.31705,1.45275,1.09697,0.85339,0.41909,0.45966,0.29112,1.15599,1.50487,1.11777,0.000928375,0.000928375,0.000928375
3,1412.26,1.33075,1.30347,1.10098,0.80441,0.41878,0.47275,0.29159,1.14946,1.61633,1.13059,0.00136709,0.00136709,0.00136709
4,1853.17,1.26814,1.18618,1.07674,0.8557,0.43812,0.51513,0.33009,1.16124,1.10565,1.09205,0.00134412,0.00134412,0.00134412
5,2291.74,1.22862,1.0659,1.0681,0.67391,0.5876,0.60299,0.38275,1.11768,1.0398,1.09683,0.00131582,0.00131582,0.00131582
6,2724.47,1.22433,1.00691,1.04995,0.90635,0.5023,0.58046,0.36094,1.11969,0.9556,1.07464,0.00128753,0.00128753,0.00128753
7,3164.3,1.16778,0.93487,1.03861,0.77195,0.60778,0.64021,0.41853,1.14554,0.93179,1.11761,0.00125923,0.00125923,0.00125923
8,3605.99,1.18861,0.89694,1.04914,0.81198,0.5772,0.63187,0.40879,1.14074,0.90569,1.11115,0.00123094,0.00123094,0.00123094
9,4043.81,1.16342,0.87163,1.03936,0.76176,0.57347,0.63285,0.42185,1.07288,0.85174,1.04455,0.00120265,0.00120265,0.00120265
10,4484.87,1.16872,0.85054,1.04175,0.68857,0.71254,0.71956,0.46858,1.10792,0.83778,1.06745,0.00117435,0.00117435,0.00117435
11,4926.99,1.16356,0.84292,1.04353,0.8174,0.60722,0.73076,0.49941,1.08809,0.73485,1.05711,0.00114606,0.00114606,0.00114606
12,5367.42,1.15751,0.80257,1.02636,0.86051,0.68499,0.71913,0.48852,1.04273,0.75766,1.06928,0.00111776,0.00111776,0.00111776
13,5801.57,1.13887,0.77773,1.0144,0.74684,0.658,0.69427,0.43884,1.0837,0.71191,1.04488,0.00108947,0.00108947,0.00108947
14,6244.54,1.12522,0.75424,1.01407,0.87702,0.6801,0.73165,0.49555,1.05855,0.69444,1.04235,0.00106118,0.00106118,0.00106118
15,6694.99,1.11845,0.74284,1.00662,0.92814,0.58651,0.70197,0.46657,1.07132,0.66548,1.04941,0.00103288,0.00103288,0.00103288
16,7144.75,1.09717,0.69861,0.98832,0.78448,0.71134,0.74286,0.5092,1.04992,0.62688,1.04415,0.00100459,0.00100459,0.00100459
17,7584.95,1.08116,0.69315,0.99748,0.60772,0.7619,0.7292,0.50262,0.99975,0.61913,1.00841,0.000976293,0.000976293,0.000976293
18,8025.45,1.09479,0.67739,0.98948,0.87044,0.71374,0.75532,0.49572,1.09389,0.63287,1.07126,0.000947999,0.000947999,0.000947999
19,8466.73,1.09738,0.68563,0.99211,0.9209,0.6837,0.77255,0.52628,1.06823,0.60744,1.05927,0.000919704,0.000919704,0.000919704
20,8908.55,1.09557,0.6783,0.99465,0.85926,0.61749,0.72276,0.49563,1.06215,0.61285,1.06916,0.00089141,0.00089141,0.00089141
21,9328.02,1.075,0.67629,0.99815,0.84552,0.73503,0.76875,0.52917,1.0479,0.58399,1.05403,0.000863116,0.000863116,0.000863116
22,9769.75,1.06535,0.65247,0.98726,0.86455,0.68102,0.77365,0.54486,1.04269,0.57782,1.03404,0.000834822,0.000834822,0.000834822
23,10192.4,1.02609,0.63099,0.98019,0.91237,0.67293,0.72965,0.50121,1.06675,0.58634,1.04249,0.000806528,0.000806528,0.000806528
24,10616.9,1.04623,0.62545,0.97503,0.80807,0.72727,0.75614,0.52747,1.00305,0.54046,1.01366,0.000778233,0.000778233,0.000778233
25,11057.9,1.04269,0.62827,0.97243,0.89537,0.64776,0.76553,0.52803,1.04692,0.54162,1.0241,0.000749939,0.000749939,0.000749939
26,11502.5,1.05068,0.62509,0.97883,0.83791,0.70427,0.77055,0.54514,1.01293,0.53381,1.02289,0.000721645,0.000721645,0.000721645
27,11948,1.02392,0.62181,0.97258,0.92176,0.72022,0.78868,0.53792,1.02159,0.56346,1.0243,0.000693351,0.000693351,0.000693351
